id,false_sent,correct_sent,explanation0,explanation1,explanation2,label
32,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,Cucumber seeds make sitting in a couch uncomfortable.,Digging a hole in the couch to plant seeds can be very messy.,Cucumbers need the conditions of a garden to grow instead of a couch.,2
33,I play games on my Gas stove,I play games on my laptop,Gas stove a very important equipment used in the house,Gas stove is frequently used in the house,Gas stove is equipment to cook food,2
34,Stars read me,I read stars,Stars has not eyes,Stars are too big,Stars are too far,0
35,A boy turns off the door,A boy turns off the light,A door cannot turn off a light,A door can be closed but a door cannot be turned off,A light cannot close the door,1
36,He read a very long window King Tut.,He read a  book about King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",Glass windows were invented after King Tut was born.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",0
37,He lost his phone in the mouth of a griffin.,He lost his phone at the park.,A griffin would find that metal of a phone disgusting and not want to eat it.,A griffin always shares what it eats with it's baby griffins.,A griffin is a mythical creature that does not exist.,2
38,Sara had a glass of petrol,Sara had a glass of water,Sara does not like the taste of petrol,Sara was not thirsty enough to have a whole glass of petrol,drinking petrol is dangerous to one's life,2
39,he kept a chair inside the fridge,he kept a juice bottle into the fridge,fridge store vegetables and fruits,chair is bigger than the fridge,chair used to sit,1
40,I read a tiger,I read a book,A tiger has not letters on herself,A tiger is orange,A tiger is wild,0
41,I use internet on my radio,I use internet in my mobile,We get signal on a radio,Radio is a great mode of communication,Internet can not be used on a radio,2
42,She drove her children to the moon.,She drove her children to the playground.,Children can't breathe on the moon.,The moon has no swing sets.,The moon is not reachable by car.,2
43,She parachuted into the grocery store from a plane.,She drove to the grocery store.,"If you jumped from a plane to get groceries, you would have no way to get them home.",It's difficult to park a plane in a grocery store parking lot.,Grocery stores do not carry parachutes.,0
44,The fish swam in the desert.,The fish swam in the ocean.,Fish do not take vacations to the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand","A desert has no water, so a fish could not swim there.",2
45,There was a dead ice creature walking in the snow.,There was a man walking in the snow.,Dead ice creatures do not walk on ice.,Dead ice creatures do not walk.,Dead ice creatures do not exist.,2
46,I swim under a tap,I swim in a swimming pool,Tap a good source of water,Tap water is generally used to take bath,There are not enough water under a tap to swim,2
47,A person eats mountains,A person eats tomatoes,A mountain is much bigger than a person,Mountains are usually cold while a person is usually hot,Mountains cannot eat a person,0
48,Jane saw a giraffe in her purse.,Jane saw a giraffe at the zoo.,A purse is too small for a giraffe to be in.,The giraffe's body pattern clashes with her purple leather purse.,Jane's dad does not allow her to have pets.,0
49,We use book to know the time,We use a clock to know the time,A book and a clock is very essential in our daily life,A book is used to study,A book plays a very important role in our life,1
50,I was playing basketball with a rock,I was playing basketball with a ball,"You need a bouncing objet for playing basketball, and a rock does not bounce",Rock are usually opaque and the ball is orange,People really love to watch NBA,0
51,Mary took her moth for a walk,Mary took her dog for a walk,moths like flying towards the light,it is unusual to keep a moth as a pet,somebody stepped on the moth and crushed it,1
52,I like to listen colours as I commute,I like to listen podcasts as I commute,Colours are not usually easy to find in dark,You should not run as you commute,Colours cannot being listened,2
53,I run in the air,I run in the ground,We can travel using both air and the ground,Walking is not possible in the air,Birds fly in the air,1
54,There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,Blond women don't ride dragons.,Usually women don't ride dragons.,Dragons do not exist.,2
55,He ate the book,He ate an apple,Book does not taste good,He does not like book,Book is not a food,2
56,Jake ate artificial mango,Jack ate mango,Mango are sweet but bitter too,Human can't eat artificial made fruits,Mango cannot eat jack,1
57,Baby is taking dictionary,Baby is taking toys,Dictionary is colour full,It is too heavy,Dictionary can not  take a baby,1
58,the school was open for summer,the school was open for fall,summertime is typically vacation time for school,the temperature outside is too hot to learn in the summer,schools wait until the first leaf falls in autumn to open,0
59,The chocolate cried,The chocolate melted,Chocolate is a melting solid therefore cannot cry,The chocolate has no eyes to cry,The chocolate was too cold,0
60,There are barbecues in the middle of a television program,There are commercials in the middle of a television program,barbecues can be shown in commercials,barbecues and commercials are sold to us,barbecues are a physical object not like commercials,2
61,He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,"Cars are small, cozy places.",One should not drive when one is tired.,Cars have soft seats inside them that one can lay on.,1
62,You never puke after getting drunk,You sometimes puke after getting drunk,We all puke without alcohol,Too much alcohol in our organism makes us puke,There are drinks with no alcohol,1
63,You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.,A jellyfish is a sea creature not intended to hold anything.,Jellyfish are soft and checks are made of paper.,Jellyfish don't eat checks.,0
64,Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre,many lawyers do not have time to watch the television,lawyers are people who provide legal aid,some characters in television or theatre are lawyers,1
65,A giraffe drove a car,A man drove a car.,Giraffes are normally reckless drivers,A giraffe is too big to fit into a car,Giraffes prefer aeroplane instead of cars,1
66,A small dog is called a kitten,A small dog is called a puppy,kittens are smaller than dogs,a kitten cannot eat dog food,a kitten is a small cat,2
67,The parrot went to work,The man went to work,Parrots play jump rope while they play cards at work,Parrots can't take the subway to work,Parrots do not have jobs,2
68,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,Tap in kitchen sink can be used to wash anything,Kitchen sink is not big enough to take bath in it,Most kitchens are fit with both hot and cold water taps,1
69,He killed him with a programming language,He killed him with a knife,Programming language is not a weapon,Programming languages are dangerous,He does not like programming language,0
70,The cinema shared popcorn with them,They shared their popcorn at the cinema,You can't share food with an establishment,popcorn is for feeding chickens,popcorn is only fictional,0
71,Rotten food smells nice.,Rotten food usually smells nasty.,Rotten food does not wash itself and so it smells bad.,Rotten food can not use deodorant and so it smells nasty.,Rotten food is decomposing and producing toxic smelly gasses.,2
72,An actor wear a toaster.,An actor can wear a costume.,Toasters are not in fashion.,Toasters are not clothing,Toasters are too hot while costumes are not.,1
73,The man slept on the volcano.,The man slept in bed.,Beds are generally comfortable while volcanoes cause destruction.,A volcano is much larger than a bed.,The bed cannot be on the volcano.,0
74,She spoke to a ghost at the door.,She spoke to a man at the door.,Ghosts are white while the doors are yellow.,Ghosts don't exist.,Ghosts can't talk to the living.,1
75,You will never see a teacher inside of a school.,You will find teachers in a school.,Teachers are legally required to always be inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school,1
76,She cuts a pizza with an advertising board.,She cuts a pizza with a knife.,Advertising signs are usually square while the pizzas are round.,An advertising board cannot eat a pizza.,An advertising board is much larger than a pizza.,2
77,They built the sun,They built a house.,The sun is a natural object created from space,The sun is bigger than the house,The sun causes people to wear sunscreen at the beach,0
78,The man put some buildings in the microwave,The man put some muffins in the microwave,Buildings and microwaves can be the same color.,Buildings and microwaves are both hard,People do not heat buildings in the microwave,2
79,There was a chicken flying.,There was a bird flying.,Chickens prefer to stay on the floor.,Chickens do not fly.,It is not common to see chickens flying.,1
80,He played the cow very well,He played the harp very well,Cows are not vehicles,Cows are not musical instruments,Cows are not sentient,1
81,You are still alive if you do not have a heartbeat.,If your heartbeat stops then you are classed as dead.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,1
82,the trampoline jumped on him,He jumped on the trampoline,a trampoline is not sentient and cannot jump,trampolines can say how high to jump,the man is a trampoline,0
83,Georgia Tech trains dragons,Georgia Tech is a school.,Dragons are not a creature that exists,Dragons are too big for the buildings at Georgia Tech.,Dragons have more tails than people do.,0
84,She was going to school in a lunch box,She was going to school in a bus,Lunch box is a container to carry food,Lunch box is in blue color and she does not like blue color,The lunch box was full,0
85,The moon gets fixed and that's how it returns to full,The moon turns full about once a month,The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,The sides of the moon are made of cheese and can be eaten,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",2
86,The man paid the bill with water.,The man paid the bill with cash.,Water has no size of money.,Water usually does not hold up while money is tangible.,Money cannot wet the water.,1
87,You are cooking the music,You are cooking the dinner,I like cooking elaborated recipes,Music should be maintained at a decent volume to not to disturb the neighbors,Music is not cookable,2
88,She write the story in water,She write the story in paper,Water has no color and writing is not possible,Water is washed the story when writing,Water has no capacity to show the story letters,2
89,The storage in every computer is unlimited.,A computer can run out of storage.,A computer gets tired when there are too many files so storage is not unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,2
90,People only cry when they are angry.,People cry when they are sad.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,It is impossible to cry when you are angry.,No one has ever cried when they are angry.,0
91,Most people like to have hamburgers and pudding in the morning.,Most people like to have coffee and doughnuts in the morning.,Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,Hamburgers and pudding both contain carbohydrates.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",2
92,Frank hit Will with a pillow causing him pain,Frank hit Will with a stone causing him pain,A pillow is bigger than a stone,A pillow is softer than a stone and does not cause injuries,A pillow and a stone can be white,1
93,he put the sock on the drum.,He put a sock on his foot.,Drums not made of wood while socks are made of cloth.,A drum has no foot.,A drum is much larger than a sock.,2
94,he shaved his teeth,he shaved his beard,it's illegal to shave teeth,there is no hair on teeth,teeth are not accessible enough to be shaved,1
95,She put mustard on a star.,She put mustard on a corndog.,People pay money to name different stars.,Clouds make it hard to see stars in the sky.,A star is too far away for someone to but a condiment on.,2
96,they put on ghillie suits to go outside,they put on shoes to walk outside,shoes are needed to walk outside,ghillie suits are only useful in jungle environments,shoes are more effective camouflage than ghillie suits,0
97,He was playing fridge,He was playing music,Fridge is a tool and is not a musical instrument,He does not know fridge,Fridge is in gray color,0
98,A person is not allowed to visit their relatives.,A person can visit relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",It is legally required of you to visit your relatives.,You are looked down upon if you do not visit relative and shamed upon.,0
99,Tight shoes are comfortable.,Tight shoes cause discomfort.,Tight shoes make walking unbearable.,Some people like shoes to be extremely tight.,Tight shoes can be worn for many hours.,0
100,Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.","Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,0
101,Plants can make computers,Plants can make carbohydrates,"Plants are all over the world, while computers are only in developed countries",Computers are not organic products and are made by humans,"Animals eat plants, but not computers",1
102,My friend like to eat electronic goods.,My friend like to eat non-veg food,No one can digest electronic goods.,Electronic goods are very small now a days to eat.,Electronic goods may cause shock while eating.,0
103,Europe is in france,france is in Europe,Europe is a continent but france is a country,france is not european,europe is not a french country,0
104,He drove his car to the moon,He drove his car to London,His car did not have moon tires on,The moon was closed for repairs that day,There is no road leading to the moon,2
105,The babies birthday is the day their parents met.,"When a baby is born, that day is called its' birthday.",Birthdays are happy days and the day of birth is happier than the day of parents meeting.,Birthdays must refer to the days and most parents meet at night time,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,2
106,A sheep shops at Walmart,A lady shops at Walmart,Sheep would see how the wool is used in the stores,Sheep only eat grass but Walmart sells meat,Walmart is a store for persons not animals,2
107,You can not get drunk from alcohol.,Drinking alcohol gets you drunk.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",It is impossible to stay sober if you drink even one drop of alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.,0
108,The fire hydrant shot a bullet,The gun shot a bullet,Fire hydrants do not have firing mechanisms,Guns are older than fire hydrants,Fire hydrants do not have an amendment protecting them,0
109,A forest is an area covered with snow,A forest is an area covered with trees,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant","snow is white, and the forest is green","snow melts, but the forest does not",0
110,The building built him,He built a building,the building is too big,the building is human made,The building is not alive,2
111,The grass is singing.,The grass is growing.,Lots of animals eat grass.,Water helps grass grow.,Grass does not have voice or mouth to make noise.,2
112,She cut the meat with a fridge.,She cut the meat with a knife.,Refrigerators are iron while meats are red.,A refrigerator is much larger than a meat.,A refrigerator cannot use knives.,1
113,I ran to the sky.,I ran to the barn.,"Can't road on the sky,it's use the air balloon or any one.","Human can't feathers,only on legs to use ran.","You can't run the sky,because you will go the sky use the space rocket.",2
114,No one uses pens to write with.,People write with pens.,You cannot write with anything else other than pens.,You are praised for using pens to write with rather than anything else.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.,2
115,The whale swims in a bathtub.,The whale swims in the ocean.,The whale is much larger than a bathtub.,The whales are usually gray while the tubs are usually white.,The bathtub cannot swim in the whale.,0
116,A boxer would never punch in a boxing match.,A boxer is likely to throw a punch in a boxing match.,Boxers will be arrested if they punch someone.,Boxers are very nice people and hate all types of violence.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,2
117,There was a person drinking sulfuric acid.,There was a person drinking water.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid does not quench thirst.,A person would not drink sulfuric acid because it tastes bitter.,0
118,She drank a cup of tires.,She drank a cup of tea.,"Tires are made of rubber, cups are made of glass.",Cups cannot drive tires.,Tires cannot be drunk.,2
119,He was changing tv channels with screwdriver,He was changing tv channels with remote,Screwdriver's battery drained up,Screwdriver is a passive mechanical tool,He did not have screwdriver at home,1
120,The giraffe swam through the ocean,The whale swam through the ocean,The whale is much larger than a giraffe,The whale not walk as well as a giraffe,The whale can swim much better than a giraffe,2
121,He moved a city to his belongings,He moved his belongings to a new city,Belongings can get quite numerous while a city can be only one entity.,A city is too big to fit into whatever belongings the person has.,There are plenty of options of places to go in a city,1
122,he put the ice cream in the closet,He put the ice cream in the freezer,ice cream is usually liquid while closets are solid,an ice cream cannot feed a closet,ice cream would easily melt in a closet,2
123,The people were full of planes,The plane was full of people,Planes are much bigger than people,planes can fly while people cannot,people cannot eat planes,0
124,She went to the shop to buy hands,She went to the shop to buy bread,You can't buy hands from a shop.,You can't eat a hand.,Hands won't fit in a shopping basket.,0
125,He took the curb to the trash.,He took the trash out to the curb.,Curbs are usually where you put the trash.,You can't take a curb from it's spot.,Curbs are where waste management receives all trash.,1
126,Alice lit a rock at night,Alice lit a candle at night,Candle and rock cannot be seen at night,Rock and candle have got the same size,Rocks cannot be lit easily,2
127,She flew on a pizza.,She delivered a pizza.,Pizzas have many different toppings,Pizza toppings would stick to your butt if you sat on them.,Pizzas do not have engines to be flown.,2
128,A musician can perform a surgery,A musician can play an instrument,both musicians and surgeries involve instruments,some musicians have surgeries performed on them,only a qualified surgeon can perform a surgery,2
129,She brushed her teeth with a truck.,She brushed her teeth with a brush.,Trucks are usually black while the teeth are white.,A truck is bigger than a tooth.,A truck cannot brush its teeth.,1
130,The house entered the man,The man entered the house,the house is bigger than the man,the house is not the man,the house will not eat in the man,0
131,He put a whale on the shelf.,He put an orange on the shelf,A whale is white while the shelf is brown.,A whale is too large to fit on a shelf.,A whale cannot smell a shelf.,1
132,Jill ate the wizard in her book.,Jill wrote a book about wizards.,Wizards are too large to be eaten by humans.,Book wizards are not edible like regular wizards.,You cannot eat wizards.,2
133,He travels by a laptop to reach the office.,He travels by a bus to reach the office.,Laptop needs drivers to run the software.,Laptop is not a vehicle which can be driven.,Driving simulation can be shown on the laptop.,1
134,He buys a book to eat.,He buys a burger to eat.,Book is not eatable.,The pages of book are made from trees.,Rodents feed on book.,0
135,The table melts at room temperature.,The ice melted at room temperature.,Tables are always square or round while the ice is wet.,Tables do not freeze in the fridge.,A table does not melt at room temperature.,2
136,He walked to mars,He walked to the store,Mars is larger than a store,Mars is a red color,Mars is another planet,2
137,He lifted a tractor with his hands.,He raised a tambourine with his hands.,Tractors are always yellow while tambourines are wooden.,A tractor is too heavy to lift with its hands.,A tractor cannot touch a tambourine.,1
138,Dwight cut down a mountain,Dwight cut down a tree,Trees are much more common than mountains,Trees grow faster than mountains,Mountains are much larger than trees,2
139,he swam in the lava,he swam in the lake,lava is too hot to swim in it,lava is red and he doesn't like red,he doesn't like the smell of lava,0
140,He put a horse in his wallet.,He put a card in his wallet.,A horse is much larger than a wallet.,Horses are usually brown while wallets are red.,A horse does not use a wallet.,0
141,The woman wrote down the story with a spoon on paper,The woman wrote down the story with a pencil on paper,A spoon is about the same size as a pencil.,A spoon is harder than all paper,A person can't write down something with a spoon.,2
142,she ate a brick,she ate a banana,bricks are not tasty,bricks are too red to be eaten,bricks cannot be eaten,2
143,Swords use me,I use swords,A sword is not alive,A sword is made of metal,I am human,0
144,Geralt flies his car every day,Geralt drives his car every day,There are cars with spoilers,Airplanes and cars have got motors.,Cars have wheels and cannot fly,2
145,She needed to call her mother but she could not find her car keys,She needed to call her mother but she could not find her phone,car keys are sharp and could scratch your phone screen,car keys are for locking or unlocking the car rather than calling people,car keys are not used for locking the house,1
146,He served a globe for dinner,He served vegetables for dinner,Globes are made of materials you cannot eat,Globes are more accurate than maps for the the north and south pole,Globes can break and would be dangerous to carry to the dinner table.,0
147,He went to  beauty parlour because he feels hungry,He went to restaurant because he feels hungry,"The beauty parlour has only scissors, chair and mirror which can't be ate by him",beauty parlour does not provide food for your hunger,There are different type of restaurant and food to eat to overcome his hunger,1
148,The Piano was hit,The Piano was played,The piano didn't have drums,The piano was closed,"The piano is an instrument we play, not hit",2
149,today will be 30 hours,today will be 24 hours,one day is made up of 24 hours while 30 hours is made up of 1 day and 6 hours,One day is only 24 hours,30 hours don't fit in 1 day,1
150,A cup is for holding a gas you plan to drink.,A cup is for holding a liquid you plan to drink.,You can not drink gas.,Gas doesn't fit into cups.,Only liquids can go into cups.,0
151,I dress a lion,I dress myself,A lion is a mammal,A lion eats meal,A lion is a wild animal,2
152,He threw an anvil into the basket.,He threw the ball into the basket.,An anvil is too heavy to throw in a basket.,Anvils are usually black while the baskets are white.,Anvils do not play ball in the basket.,0
153,I like to eat cooked ice cream,I like to eat boiled eggs,Ice cream melts when cooking non eggs,ice creams don't cook,Ice creams are for taking not for cooking,2
154,He ate a crane.,He ate barbecue.,Cranes are always metal while the barbecue is red.,A crane and made of metal is not fit for eating.,A crane cannot eat barbecue.,1
155,He danced on the spoon,He danced on the floor,Spoon is an utensil,Spoon is not flat,He does not like spoon,0
156,A landscape is a painting or a photograph which focuses on the face of a person,A portrait is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,Any landscape can be captured in a painting or a photograph,painting the face of a person requires some skill,0
157,The child ate mud off of his face.,The child rubbed mud on his face.,Children do not play in the mud.,Humans do not eat mud.,Children are allergic to mud.,1
158,A man defrosted a chicken using a lighter.,A man defrosted a chicken using a microwave.,A lighter flame is too hot to defrost a chicken with.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,A lighter breaks very easily and cannot maintain the flame long enough to defrost.,1
159,He was walking on the water.,He was walking on the road.,Water can be displaced by the mans body mass.,Water has no solid surface to hold someone above it.,Water cannot be stopped.,1
160,A shark interviews a fish.,A shark eats a fish,Sharks and fish do not talk.,Sharks are bigger than fish.,There are more letters in the word shark than fish.,0
161,She lifted a tractor.,She lifted a chair.,Tractors are often black while chairs are green.,A tractor cannot sit in the chair.,A tractor is too heavy for one person.,2
162,She makes a call by the stove.,She makes a phone call.,The stove is hot and the phone is cold.,The stove is for cooking.,The stove rings and does not vibrate.,1
163,The sun shines bright in the night,The sun shines bright in the day,"The sun is only by day, the night appears the moon",There can be no sun in the day,The sun does not appear at night,2
164,The book eats,The elephant eats,The book is made of paper,The book is not alive,The book is useful,1
165,The woman writes in the sky.,The woman writes in the book.,Heaven has no pages like the book.,"The sky is usually blue, while books of various colors.",Books cannot write in the sky.,0
166,the country of liegenpoofa exists,the country of Denmark exists,Liegenpoofa exists in the Lord of the Rings series,Denmark exists and Liegenpoofa does not,"Liegenpoofa is German for ""intense accusation""",1
167,You will never find dust on a desktop.,Something you can find on a desktop is dust.,Dust grows on top of desktops like a plant does.,Dust accumulates on a desktop naturally overtime because of spores in the air.,A desktop is the preferred environment for dust.,1
168,Dogs eat extension cords.,Dogs eat dog food.,"Dog food can be wet or dry, extension cords need to be dry.",Dogs cant digest copper and plastic.,Extension cords are inedible.,2
169,Children love doing the laundry,Children love reading stories,Many children hate reading stories,The laundry is generally viewed as a boring activity,Laundry and reading stories are both activities,1
170,You can take a bath in a blender,You can take a bath in a tub,A blender only has cold water,A blender is too small,A blender may have mustard in it,1
171,The coin was made of cheese,The coin was made of silver,Cheese is better to eat than silver,Cheese is cheaper than silver,Cheese is a food and silver is metal,2
172,A fork is used for cutting bread,A bread knife is used for cutting bread,"bread is edible, while a fork is inedible",you cannot stab a fork with a slice of bread,"a fork, unlike a knife, cannot cut",2
173,She makes omelette with horse's egg.,She makes omelette with chicken's egg.,Horse's egg is too small to make an omelette.,Horse does not lay eggs.,Horses egg is pink in color while chicken's egg is white in color.,1
174,She lay on the pool water to sleep,She lay on the bed to sleep,Pool water is flat like a bed.,No one can sleep over water.,Water absorb her while sleeping.,1
175,The water froze on the stove.,The water on the stove is boiling.,Ice cubes can be round like bubbles.,Stoves get hot and you cannot freeze water in the heat.,You can't freeze water in a regular room.,1
176,A horse spun a web,A spider spun a web.,Horses are bigger than spiders,Horses have less legs than spiders,Horses do not have the glands to produce materials to spin webs.,2
177,she bought minecraft to play netball with,she bought minecraft to play on her xbox,minecraft is a virtual game,minecraft was the reason netball conceived,netball injured minecraft in a friendly,0
178,She put a house in her purse.,She put a phone in her bag.,houses are usually yellow while the bags are black.,A house is much larger than a purse.,The house doesn't use a purse.,1
179,She took a battle tank in the car.,She took the laptop in the car,Battle tanks are always camouflaged while cars are normal.,A battle tank is much larger than a car.,A battle tank cannot drive a car.,1
180,He put the shoes in his mouth,He put the pills in his mouth.,"Shoes go on feet, not in mouths.",Shoes come in different styles but lips are the same.,A shoe wont fit into a mouth.,0
181,He put a teapot over his head,He put a hat over his head,Teapots make tea,Teapots are not clothing,Teapots have spouts,1
182,You will never find a dog that likes to eat meat.,Dog's love eating meat.,Dogs like the texture of the meat.,Dogs are fussy eaters and do not like most vegetables.,Meat is the preferred food to dogs because they are carnivores and it has all their nutritional needs.,2
183,The door opened him,He opened the door,The door is not alive,The door is too big,The human is mainly made of water,0
184,He rode his car across the ocean,He rode his car across the highway,Cars cannot ride across the ocean,The ocean is blue and cars are sometimes blue.,The ocean is larger than the car.,0
185,I put my bowling alley on the couch,I put my dog on the couch,Dogs are usually playful and you usually play a game of bowling in a bowling alley,Bowling alleys can have couches but a couch can not have a bowling alley,A bowling alley can't be put on a couch.,2
186,There was an ant wrapped around a tree.,There was a snake wrapped around a tree.,It is not common to see ants wrapped around a tree.,Ants prefer to walk over trees.,Ants have a body that is too small to curl up in a tree.,2
187,He played the piano with a ship.,He played the piano with his fingers.,A ship is much larger than a piano.,Ships are usually made of iron while pianos are made of wood.,A ship cannot play the piano with its fingers.,0
